,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc0,0.03,0.03,0.03,0.03,0.41,0.03,0.03,0.39,0.03,0.03,4
Doc1,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,5
Doc2,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,4
Doc3,0.01,0.01,0.01,0.63,0.01,0.01,0.01,0.01,0.14,0.14,3
Doc4,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc5,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,5
Doc6,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,7
Doc7,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc8,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc9,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc10,0.01,0.01,0.01,0.01,0.01,0.14,0.76,0.01,0.01,0.01,6
Doc11,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.52,0.03,8
Doc12,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,6
Doc13,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc14,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc15,0.01,0.01,0.01,0.01,0.01,0.01,0.79,0.01,0.12,0.01,6
Doc16,0.02,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,4
Doc17,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc18,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc19,0.01,0.2,0.01,0.01,0.01,0.01,0.29,0.01,0.41,0.01,8
Doc20,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.01,0.76,9
