,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9
Topic 0,bitch,make,know,fuck,face,said,lil,say,car,high
Topic 1,hoes,ass,bitch,lol,cant,get,nigga,fuck,monkey,man
Topic 2,bitch,got,aint,hoes,bitches,real,niggas,shit,dick,ass
Topic 3,hoe,bitch,dont,aint,well,know,little,call,lmao,amp
Topic 4,bitches,love,bitch,think,hate,bad,get,yall,know,much
Topic 5,trash,bird,white,faggot,retarded,fucking,youre,fag,look,people
Topic 6,bitches,last,day,birds,happy,night,many,today,got,niccas
Topic 7,bitch,dont,get,hoes,hoe,give,gon,want,better,amp
Topic 8,shit,bitch,cunt,fuck,wan,nigger,talking,people,ghetto,hoe
Topic 9,pussy,right,get,eat,nigga,bitch,good,let,eating,yellow
